,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
3701,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1901-05-30
3702,LUNCHEON,COMMERCIAL,EN ROUTE,1901-05-30
3703,DINNER,COMMERCIAL,EN ROUTE,1901-11-19
3704,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-19
3705,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-20
3706,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-20
3707,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-20
3708,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-20
3709,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S.VADERLAND,1901-11-20
3710,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S.VADERLAND,1901-11-21
3711,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-21
3712,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S.ZEELAND,1901-11-21
3713,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S.VADERLAND,1901-11-21
3714,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S.VADERLAND,1901-11-22
3715,DINNER,COM,EN ROUTE S.S.ZEELAND,1901-11-23
3716,DINNER,COMMERCIAL,EN ROUTE S.S.VADERLAND,1901-09-01
3717,BREAKFAST,COMMERCIAL,DINING CAR,1901-09-01
3718,BREAKFAST,COMMERCIAL,DINING CAR,1901-09-01
3719,LUNCHEON,COMMERCIAL,DINING CAR,1901-09-01
3720,LUNCHEON,COMMERCIAL,DINING CAR,1901-09-01
3721,SUPPER,COMMERCIAL,DINING CAR,1901-09-17
3722,BREAKFAST,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-09-17
3723,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-09-17
3724,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-09-18
3725,BREAKFAST ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-18
3726,LUNCHEON ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-18
3727,DINNER ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-01
3728,BREAKFAST ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-01
3729,LUNCHEON ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-19
3730,DINNER ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-19
3731,LUNCH,COMMERCIAL,SS DEUTSCHLAND,1901-09-22
3732,?DINNER? - LUNCH?,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-05-14
3733,DINNER,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-14
3734,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-14
3735,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-14
3736,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-14
3737,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-14
3738,MIDDAY MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER NECKER,1901-05-14
3739,DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-14
3740,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-14
3741,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-15
3742,MIDDAY MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER NECKER,1901-06-23
3743,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,1901-06-23
3744,LUNCH,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,1901-06-23
3745,DINNER,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,1901-06-23
3746,BREAKFAST,COMMERCIAL,SS SONOMA,1901-05-17
3747,LUNCH,COMMERCIAL,SS SONOMA,1901-05-17
3748,LUNCH SECOND CABIN,COMMERCIAL,SS SONOMA,1901-05-17
3749,DINNER SECOND CABIN,COMMERCIAL,SS SONOMA,1901-05-17
3750,DINNER,COMMERCIAL,SS SONOMA,1901-05-18
3751,BREAKFAST,COMMERCIAL,SS SONOMA,1901-04-26
3752,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER BARBAROSSA,1901-04-26
3753,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER BARBAROSSA,1901-04-26
3754,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER BARBAROSSA,1901-05-04
3755,FRUHSTUCK,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-04
3756,LUNCH,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-04
3757,LUNCH,COMMERCIAL,DAMPFER H.H. MEIER,1901-05-04
3758,MITTAGESSEN,COMMERCIAL,DAMPFER NECKAR,1901-05-05
3759,LUNCH,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-05
3760,FRUHSTUCK,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-05
3761,LUNCH,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-05
3762,MITTAGESSEN - DINNER,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-05
3763,FRUHSTUCK,COMMERCIAL,DAMPFER H.H. MEIER,1901-05-05
3764,LUNCH,COMMERCIAL,DAMPFER H.H. MEIER,1901-05-05
3765,MITTAGESSEN,COMMERCIAL,DAMPFER NECKAR,1901-05-05
3766,MITTAGESSEN,COMMERCIAL,DAMPFER H.H. MEIER,1900-04-22
3767,DINNER,COMMERCIAL,SS DORIC,1900-04-22
3768,LUNCHEON,COMMERCIAL,RMS EMPRESS OF CHINA,1900-04-22
3769,DINNER,COMMERCIAL,RMS EMPRESS OF CHINA,1900-04-23
3770,LUNCH,COMMERCIAL,"PANAMA LINE,CITY OF PARA",1900-04-23
3771,BREAKFAST,COMMERCIAL,SS DORIC,1900-04-23
3772,LUNCH,COMMERCIAL,SS DORIC,1900-04-23
3773,DINNER,COMMERCIAL,SS DORIC,1900-04-24
3774,BREAKFAST,COMMERCIAL,R.M.S. LUNCANIA,1900-04-24
3775,DINNER,COMMERCIAL,R.M.S. LUNCANIA,1900-04-24
3776,DINNER,COMMERCIAL,R.M.S. LUNCANIA,1900-04-25
3777,BREAKFAST,COMMERCIAL,R.M.S. LUNCANIA,1900-04-25
3778,DINNER,COMMERCIAL,R.M.S. LUNCANIA,1900-04-25
3779,BREAKFAST,COMMERCIAL,S.S. CITY OF PARA,1900-04-30
3780,BREAKFAST,COMMERCIAL,SS CITY OF PARA,1900-04-30
3781,LUNCH,COMMERCIAL,SS CITY OF PARA,1900-04-29
3782,DINNER,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-04-30
3783,BREAKFAST,COMMERCIAL,SS DORIC,1900-04-30
3784,LUNCH,COMMERCIAL,SS DORIC,1900-04-30
3785,DINNER,COMMERCIAL,SS DORIC,1900-05-01
3786,BREAKFAST,COMMERCIAL,SS CITY OF PARA,1900-05-01
3787,LUNCH,COMMERCIAL,SS CITY OF PARA,1900-05-01
3788,DINNER,COMMERCIAL,SS CITY OF PARA,1900-05-01
3789,BREAKFAST,COMMERCIAL,SS DORIC,1900-05-01
3790,LUNCH,COMMERCIAL,SS DORIC,1900-05-01
3791,DINNER,COMMERCIAL,SS DORIC,1900-05-02
3792,BREAKFAST,COMMERCIAL,SS DORIC,1900-05-02
3793,LUNCH,COMMERCIAL,SS DORIC,1900-06-17
3794,DINNER,COMMERCIAL,DAMPFER LAHN,1900-07-15
3795,LUNCHEON,COMMERCIAL,"CORONADO BEACH, CA",1900-07-15
3796,DINNER,COMMERCIAL,"OLD ORCHARD, ME",1900-07-16
3797,TABLE DE HOTE DINNER/FISH DINNER,COMMERCIAL,"OLD ORCHARD BEACH, ME",1900-07-16
3798,DINNER,COMMERCIAL,"ABOARD STEAMER HORICON, LAKE GEORGE {NY}",1900-07-17
3799,DINNER,COMMERCIAL,"ABOARD STEAMER HORICON, LAKE GEORGE {NY}",1900-07-18
3800,LUNCHEON,COMMERCIAL,ON BOARD SS NORTH WEST,1900-07-18
3801,A LA CARTE,COMMERCIAL,ON BOARD SS NORTH WEST,1900-07-18
3802,TABLE DE HOTE DINNER/FISH DINNER,COMMERCIAL,"OLD ORCHARD BEACH, ME",1900-07-22
3803,DINNER,COMMERCIAL,"PUT-IN-BAY ISLAND, OH",1900-07-01
3804,LUNCHEON,COMMERCIAL,,1900-07-01
3805,LUNCHEON,COMMERCIAL,,1900-05-25
3806,TIFFIN,COMMERCIAL,SS CITY OF RIO DE JANEIRO,1900-05-25
3807,LUNCH,COMMERCIAL,SS CITY OF PARA,1900-05-25
3808,BREAKFAST,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-05-25
3809,BREAKFAST,COMMERCIAL,SS CITY OF PARA,1900-05-26
3810,BREAKFAST,COMMERCIAL,SS CITY OF PARA,1900-05-26
3811,LUNCH,COMMERCIAL,SS CITY OF PARA,1900-05-26
3812,DINNER,COMMERCIAL,SS CITY OF PARA,1900-05-26
3813,LUNCH,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-05-26
3814,DINNER,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-05-28
3815,DINNER,COMMERCIAL,"JACKSONVILLE, FL",1900-08-23
3816,NOON DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH",1900-09-05
3817,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-05
3818,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-05
3819,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-05
3820,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. BARBAROSSA,1900-09-06
3821,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-10-19
3822,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-19
3823,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-19
3824,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-19
3825,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-19
3826,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-20
3827,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-20
3828,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-20
3829,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-20
3830,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-20
3831,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-20
3832,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-21
3833,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-21
3834,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-21
3835,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-21
3836,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-21
3837,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-01-01
3838,DINNER,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-10-09
3839,TIFFIN,COMMERCIAL,EN ROUTE,1900-10-09
3840,BREAKFAST,COMMERCIAL,EN ROUTE,1900-10-10
3841,BREAKFAST,COMMERCIAL,EN ROUTE,1900-10-10
3842,TIFFIN,COMMERCIAL,EN ROUTE,1900-10-10
3843,BREAKFAST,COMMERCIAL,EN ROUTE,1900-10-10
3844,TIFFIN,COMMERCIAL,EN ROUTE,1900-10-10
3845,DINNER,COMMERCIAL,EN ROUTE,1900-10-11
3846,DINNER,COMMERCIAL,EN ROUTE,1900-10-11
3847,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,1900-10-11
3848,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-11
3849,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-11
3850,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-11
3851,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-11
3852,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-12
3853,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,1901-11-24
3854,BREAKFAST,COM,EN ROUTE S.S.ZEELAND,1901-11-24
3855,DINNER,COM,EN ROUTE S.S. ZEELAND,1901-11-24
3856,DINNER,COM,EN ROUTE S.S.VADERLAND,1901-07-03
3857,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSER,1901-07-03
3858,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSER,1901-07-04
3859,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSER,1901-07-04
3860,BREAKFAST,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",1901-07-04
3861,LUNCHEON,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",1901-07-04
3862,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",1901-07-04
3863,DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSER,1901-07-04
3864,DINNER,COMMERCIAL,EN ROUTE,1901-07-06
3865,BREAKFAST,COMMERCIAL,SS FURST BISMARCK,1901-08-06
3866,DINNER,COMMERCIAL,"OLD POINT COMFORT, VA",1901-09-23
3867,FRUHSTUCK-LUNCH,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-23
3868,DINNER,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-23
3869,?DINNER? - LUNCH?,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-24
3870,FRUHSTUCK-LUNCH,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-24
3871,DINNER,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-24
3872,?DINNER? - LUNCH?,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-25
3873,FRUHSTUCK-LUNCH,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-25
3874,?DINNER? - LUNCH?,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-10-02
3875,FRUHSTUCK-BREAKFAST,COMMERCIAL,DAMPFER KRONPRINZ WILHLEM,1901-10-01
3876,LUNCH,COMMERCIAL,DAMPFER KRONPRINZ WILHLEM,1901-10-01
3877,DINNER,COMMERCIAL,DAMPFER KRONPRINZ WILHLEM,1901-06-23
3878,DINNER,COMMERCIAL,SS SONOMA,1901-06-23
3879,BREAKFAST,COMMERCIAL,"SS SONOMA,SECOND CABIN",1901-06-23
3880,LUNCH SECOND CABIN,COMMERCIAL,SS SONOMA,1901-05-06
3881,MENU,COMMERCIAL,"NEW YORK, NY",1901-05-06
3882,LUNCHEON,COMMERCIAL,"NEW YORK, NY",1901-08-19
3883,BREAKFAST,COMMERCIAL,"CLINTON,NY",1901-07-09
3884,BREAKFAST,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-07-09
3885,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-07-09
3886,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-05-18
3887,LUNCH SECOND CABIN,COMMERCIAL,SS SONOMA,1901-05-18
3888,DINNER,COMMERCIAL,SS SONOMA,1901-05-18
3889,LUNCH,COMMERCIAL,SS SONOMA,1901-05-18
3890,DINNER,COMMERCIAL,SS SONOMA,1901-05-18
3891,LUNCH,GOVT,SS ST PAUL,1901-05-19
3892,BREAKFAST,GOVT,SS ST PAUL,1901-05-19
3893,BREAKFAST,COMMERCIAL,SS SONOMA,1901-05-19
3894,LUNCH,COMMERCIAL,SS SONOMA,1901-05-19
3895,LUNCH SECOND CABIN,COMMERCIAL,SS SONOMA,1901-05-19
3896,DINNER SECOND CABIN,COMMERCIAL,SS SONOMA,1901-05-10
3897,DINNER,COMMERCIAL,SS SONOMA,1901-05-19
3898,LUNCH,GOVT,SS ST PAUL,1901-05-20
3899,BREAKFAST,COMMERCIAL,EN ROUTE,1901-05-20
3900,DINNER,COMMERCIAL,EN ROUTE,1901-06-20
3901,LUNCH,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,1901-06-20
3902,LUNCH,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,1901-06-20
3903,DINNER,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,1901-06-21
3904,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,1901-06-26
3905,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-06-26
3906,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-06-27
3907,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-06-27
3908,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-06-27
3909,BREAKFAST,COMMERCIAL,SS FURST BISMARCK,1901-06-27
3910,DINNER,COMMERCIAL,SS FURST BISMARCK,1901-06-27
3911,DINNER,COMMERCIAL,SS SIERRA,1901-06-28
3912,BREAKFAST,COMMERCIAL,SS FURST BISMARCK,1901-06-28
3913,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-09-04
3914,TOUR TO BUFFALO-LUNCHEON,GOVT,EN ROUTE,1900-03-03
3915,LUNCHEON,COMMERCIAL,"NEW YORK, NY",1900-03-03
3916,BREAKFAST,COMMERCIAL,"NEW YORK, NY",1900-03-03
3917,MENU,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,1900-03-03
3918,LUNCHEON,COMMERCIAL,"NEW YORK, NY",1900-03-03
3919,BREAKFAST,COMMERCIAL,R.M.S. CAMPANIA,1900-03-03
3920,BREAKFAST,COMMERCIAL,S.S. WESTERNLAND,1900-03-03
3921,LUNCH,COMMERCIAL,S.S. WESTERNLAND,1900-03-03
3922,DINNER,COMMERCIAL,S.S. WESTERNLAND,1900-03-03
3923,LUNCH,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,1900-03-03
3924,LUNCHEON,COMMERCIAL,"NEW YORK, NY",1900-03-03
3925,DINNER,COMMERCIAL,"NEW YORK, NY",1900-03-04
3926,BREAKFAST,COMMERCIAL,S.S. WESTERNLAND,1900-03-04
3927,DINNER,COMMERCIAL,S.S. WESTERNLAND,1900-03-04
3928,LUNCHEON,COMMERCIAL,R.M.S. ETRURIA,1900-03-04
3929,LUNCH,COMMERCIAL,S.S. WESTERNLAND,1900-03-14
3930,LUNCH OR EARLY DINNER,COMMERCIAL,,1900-03-14
3931,DINNER,COMMERCIAL,"FIFTH AVENUE AND 59TH STREET, NEW YORK, NY",1900-03-14
3932,LUNCHEON,COMMERCIAL,"FIFTH AVENUE AND 59TH STREET, NEW YORK, NY",1900-03-14
3933,LUNCHEON,COMMERCIAL,"FIFTH AVENUE AND 59TH STREET, NEW YORK, NY",1900-03-14
3934,DINNER,COMMERCIAL,"FIFTH AVENUE AND 59TH STREET, NEW YORK, NY",1900-03-17
3935,DINNER,COMMERCIAL,"TAMPA,FL",1900-03-17
3936,BREAKFAST,COMMERCIAL,SS COPTIC,1900-03-17
3937,LUNCH,COMMERCIAL,SS COPTIC,1900-03-17
3938,DINNER,COMMERCIAL,SS COPTIC,1900-03-17
3939,LUNCH,COMMERCIAL,SS AUGUSTE VICTORIA,1900-03-17
3940,DINNER,COMMERCIAL,SS AUGUSTE VICTORIA,1900-03-18
3941,BREAKFAST,COMMERCIAL,,1900-03-18
3942,DINNER,COMMERCIAL,,1900-09-06
3943,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-09-06
3944,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-09-06
3945,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-09-06
3946,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-06
3947,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-07
3948,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-09-07
3949,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-09-07
3950,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-08-04
3951,DINNER,COMMERCIAL,"LONG BEACH, L.I, NY",1900-01-01
3952,DINNER,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-01-01
3953,BREAKFAST,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-08-04
3954,BREAKFAST,COMMERCIAL,SS: KAMAKURA MARU,1900-08-05
3955,DINNER,COMMERCIAL,"LONG BEACH, L.I, NY",1900-08-05
3956,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-05
3957,BREAKFAST,COMMERCIAL,SS: KAMAKURA MARU,1900-08-06
3958,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-05
3959,LUNCHEON,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-07
3960,LUNCHEON,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-08
3961,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-08
3962,LUNCHEON,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-09
3963,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-10
3964,LUNCHEON,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-10
3965,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-01-01
3966,LUNCHEON,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-08-24
3967,NOON DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH",1900-08-24
3968,BREAKFAST,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-24
3969,TIFFIN,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-24
3970,DINNER,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-01
3971,BREAKFAST,COMMERCIAL,"AUGUST, ME",1900-08-01
3972,BREAKFAST,COMMERCIAL,"AUGUST, ME",1900-09-19
3973,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-19
3974,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-19
3975,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-19
3976,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-19
3977,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-19
3978,DINNER,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-20
3979,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-20
3980,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-20
3981,DINNER,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-20
3982,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-20
3983,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-21
3984,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-21
3985,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS KASUGA,1900-09-21
3986,DINNER,COMMERCIAL,EN ROUTE ABOARD SS KASUGA MARU,1900-09-21
3987,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-09-21
3988,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,1900-10-12
3989,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-01-01
3990,DINNER,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-01-01
3991,DINNER,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-11-01
3992,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-11-01
3993,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-11-02
3994,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-11-02
3995,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-11-15
3996,DINNER,COMMERCIAL,"CLEVELAND, OH",1900-11-16
3997,BREAKFAST,COMMERCIAL,"CLEVELAND, OH",1900-11-16
3998,DINNER,COMMERCIAL,"CLEVELAND, OH",1900-11-18
3999,BREAKFAST,COMMERCIAL,"CLEVELAND, OH",1900-11-18
4000,COMPLIMENTARY LUNCHEON,SOC,"MADISON SQUARE GARDEN, NEW YORK, NY",1900-11-18
4001,BREAKFAST,COMMERCIAL,S.S. KINSHIN MARU,1900-11-18
4002,TIFFIN,COMMERCIAL,S.S. KINSHIN MARU,1900-11-19
4003,BREAKFAST,COMMERCIAL,S.S. KINSHIN MARU,1901-11-01
4004,LUNCHEON,COM,EN ROUTE S.S. ZEELAND,1901-11-02
4005,BREAKFAST,COM,EN ROUTE S.S.ZEELAND,1901-11-02
4006,DINNER,COM,EN ROUTE S.S. ZEELAND,1901-11-03
4007,DINNER,COMMERCIAL,EN ROUTE S.S.ZEELAND,1901-06-23
4008,BREAKFAST,COMMERCIAL,SS SIERRA,1901-06-23
4009,DINNER,COMMERCIAL,SS SIERRA,1901-06-23
4010,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-06-24
4011,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-24
4012,BREAKFAST,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-24
4013,BREAKFAST,COMMERCIAL,SS FURST BISMARCK,1901-06-24
4014,LUNCH,COMMERCIAL,SS FURST BISMARCK,1901-06-24
4015,BREAKFAST,COMMERCIAL,SS SONOMA,1901-06-24
4016,BREAKFAST,COMMERCIAL,"SS SONOMA,SECOND CABIN",1901-06-24
4017,LUNCH,COMMERCIAL,SS SONOMA,1901-07-24
4018,LUNCH,COMMERCIAL,EN ROUTE ABOARD S.S.ZEALANDIA,1901-07-24
4019,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S.ZEALANDIA,1901-08-06
4020,LUNCH,COMMERCIAL,EN ROUTE ABOARD S.S. ZEALANDIA,1901-08-06
